perdre - indicatif - présent - troisième_singulier,perdre,perd,\[il/ɛl/ɔ̃] pɛʁ\,indicatif,présent,troisième_singulier
perdre - indicatif - présent - première_pluriel,perdre,perdons,\nu pɛʁ.dɔ̃\,indicatif,présent,première_pluriel
perdre - indicatif - présent - deuxième_pluriel,perdre,perdez,\vu pɛʁ.de\,indicatif,présent,deuxième_pluriel
perdre - indicatif - présent - troisième_pluriel,perdre,perdent,\[il/ɛl] pɛʁd\,indicatif,présent,troisième_pluriel
perdre - indicatif - imparfait - première_singulier,perdre,perdais,\ʒə pɛʁ.dɛ\,indicatif,imparfait,première_singulier
perdre - indicatif - imparfait - deuxième_singulier,perdre,perdais,\ty pɛʁ.dɛ\,indicatif,imparfait,deuxième_singulier
perdre - indicatif - imparfait - troisième_singulier,perdre,perdait,\[il/ɛl/ɔ̃] pɛʁ.dɛ\,indicatif,imparfait,troisième_singulier
perdre - indicatif - imparfait - première_pluriel,perdre,perdions,\nu pɛʁ.djɔ̃\,indicatif,imparfait,première_pluriel
perdre - indicatif - imparfait - deuxième_pluriel,perdre,perdiez,\vu pɛʁ.dje\,indicatif,imparfait,deuxième_pluriel
perdre - indicatif - imparfait - troisième_pluriel,perdre,perdaient,\[il/ɛl] pɛʁ.dɛ\,indicatif,imparfait,troisième_pluriel
perdre - indicatif - passé_simple - première_singulier,perdre,perdis,\ʒə pɛʁ.di\,indicatif,passé simple,première_singulier
perdre - indicatif - passé_simple - deuxième_singulier,perdre,perdis,\ty pɛʁ.di\,indicatif,passé simple,deuxième_singulier
perdre - indicatif - passé_simple - troisième_singulier,perdre,perdit,\[il/ɛl/ɔ̃] pɛʁ.di\,indicatif,passé simple,troisième_singulier
perdre - indicatif - passé_simple - première_pluriel,perdre,perdîmes,\nu pɛʁ.dim\,indicatif,passé simple,première_pluriel
perdre - indicatif - passé_simple - deuxième_pluriel,perdre,perdîtes,\vu pɛʁ.dit\,indicatif,passé simple,deuxième_pluriel
perdre - indicatif - passé_simple - troisième_pluriel,perdre,perdirent,\[il/ɛl] pɛʁ.diʁ\,indicatif,passé simple,troisième_pluriel
perdre - indicatif - futur_simple - première_singulier,perdre,perdrai,\ʒə pɛʁ.dʁe\,indicatif,futur simple,première_singulier
perdre - indicatif - futur_simple - deuxième_singulier,perdre,perdras,\ty pɛʁ.dʁa\,indicatif,futur simple,deuxième_singulier
perdre - indicatif - futur_simple - troisième_singulier,perdre,perdra,\[il/ɛl/ɔ̃] pɛʁ.dʁa\,indicatif,futur simple,troisième_singulier
perdre - indicatif - futur_simple - première_pluriel,perdre,perdrons,\nu pɛʁ.dʁɔ̃\,indicatif,futur simple,première_pluriel
perdre - indicatif - futur_simple - deuxième_pluriel,perdre,perdrez,\vu pɛʁ.dʁe\,indicatif,futur simple,deuxième_pluriel
perdre - indicatif - futur_simple - troisième_pluriel,perdre,perdront,\[il/ɛl] pɛʁ.dʁɔ̃\,indicatif,futur simple,troisième_pluriel
perdre - subjonctif - présent - première_singulier,perdre,perde,\kə ʒə pɛʁd\,subjonctif,présent,première_singulier
perdre - subjonctif - présent - deuxième_singulier,perdre,perdes,\kə ty pɛʁd\,subjonctif,présent,deuxième_singulier
perdre - subjonctif - présent - troisième_singulier,perdre,perde,\k‿[il/ɛl/ɔ̃] pɛʁd\,subjonctif,présent,troisième_singulier
perdre - subjonctif - présent - première_pluriel,perdre,perdions,\kə nu pɛʁ.djɔ̃\,subjonctif,présent,première_pluriel
perdre - subjonctif - présent - deuxième_pluriel,perdre,perdiez,\kə vu pɛʁ.dje\,subjonctif,présent,deuxième_pluriel
perdre - subjonctif - présent - troisième_pluriel,perdre,perdent,\k‿[il/ɛl] pɛʁd\,subjonctif,présent,troisième_pluriel
perdre - subjonctif - imparfait - première_singulier,perdre,perdisse,\kə ʒə pɛʁ.dis\,subjonctif,imparfait,première_singulier
perdre - subjonctif - imparfait - deuxième_singulier,perdre,perdisses,\kə ty pɛʁ.dis\,subjonctif,imparfait,deuxième_singulier
perdre - subjonctif - imparfait - troisième_singulier,perdre,perdît,\k‿[il/ɛl/ɔ̃] pɛʁ.di\,subjonctif,imparfait,troisième_singulier
perdre - subjonctif - imparfait - première_pluriel,perdre,perdissions,\kə nu pɛʁ.di.sjɔ̃\,subjonctif,imparfait,première_pluriel
perdre - subjonctif - imparfait - deuxième_pluriel,perdre,perdissiez,\kə vu pɛʁ.di.sje\,subjonctif,imparfait,deuxième_pluriel
perdre - subjonctif - imparfait - troisième_pluriel,perdre,perdissent,\k‿[il/ɛl] pɛʁ.dis\,subjonctif,imparfait,troisième_pluriel
perdre - conditionnel - présent - première_singulier,perdre,perdrais,\ʒə pɛʁ.dʁɛ\,conditionnel,présent,première_singulier
perdre - conditionnel - présent - deuxième_singulier,perdre,perdrais,\ty pɛʁ.dʁɛ\,conditionnel,présent,deuxième_singulier
perdre - conditionnel - présent - troisième_singulier,perdre,perdrait,\[il/ɛl/ɔ̃] pɛʁ.dʁɛ\,conditionnel,présent,troisième_singulier
perdre - conditionnel - présent - première_pluriel,perdre,perdrions,\nu pɛʁ.dʁi.jɔ̃\,conditionnel,présent,première_pluriel
perdre - conditionnel - présent - deuxième_pluriel,perdre,perdriez,\vu pɛʁ.dʁi.je\,conditionnel,présent,deuxième_pluriel
perdre - conditionnel - présent - troisième_pluriel,perdre,perdraient,\[il/ɛl] pɛʁ.dʁɛ\,conditionnel,présent,troisième_pluriel
répondre - indicatif - présent - première_singulier,répondre,réponds,\ʒə ʁe.pɔ̃\,indicatif,présent,première_singulier
répondre - indicatif - présent - deuxième_singulier,répondre,réponds,\ty ʁe.pɔ̃\,indicatif,présent,deuxième_singulier
répondre - indicatif - présent - troisième_singulier,répondre,répond,\[il/ɛl/ɔ̃] ʁe.pɔ̃\,indicatif,présent,troisième_singulier
répondre - indicatif - présent - première_pluriel,répondre,répondons,\nu ʁe.pɔ̃.dɔ̃\,indicatif,présent,première_pluriel
répondre - indicatif - présent - deuxième_pluriel,répondre,répondez,\vu ʁe.pɔ̃.de\,indicatif,présent,deuxième_pluriel
répondre - indicatif - présent - troisième_pluriel,répondre,répondent,\[il/ɛl] ʁe.pɔ̃d\,indicatif,présent,troisième_pluriel
répondre - indicatif - imparfait - première_singulier,répondre,répondais,\ʒə ʁe.pɔ̃.dɛ\,indicatif,imparfait,première_singulier
répondre - indicatif - imparfait - deuxième_singulier,répondre,répondais,\ty ʁe.pɔ̃.dɛ\,indicatif,imparfait,deuxième_singulier
répondre - indicatif - imparfait - troisième_singulier,répondre,répondait,\[il/ɛl/ɔ̃] ʁe.pɔ̃.dɛ\,indicatif,imparfait,troisième_singulier
répondre - indicatif - imparfait - première_pluriel,répondre,répondions,\nu ʁe.pɔ̃.djɔ̃\,indicatif,imparfait,première_pluriel
